,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
161,2480992,No,2.0,30,E2,30.0,44.0,10.77,No,No,Male,Direct,7,INFRA,Noida,31,Joined
165,2537925,Yes,47.0,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,INFRA,Noida,34,Joined
167,2538533,No,0.0,30,E2,35.54,37.77201584732044,-2.0789156941299427,No,No,Female,Direct,7,EAS,Bangalore,30,Not Joined
169,2556458,No,4.0,30,E1,-11.56,-11.56,0.0,No,No,Female,Employee Referral,1,INFRA,Noida,24,Joined
174,2564986,No,4.0,30,E2,42.86,42.86,0.0,No,No,Male,Agency,5,INFRA,Noida,37,Joined
175,2568767,Yes,21.189619305179946,90,E2,25.0,25.0,0.0,No,No,Male,Agency,5,ERS,Bangalore,28,Not Joined
178,2576352,No,1.0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,8,INFRA,Chennai,31,Joined
179,2586163,No,2.0,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,ERS,Chennai,28,Joined
182,2590903,Yes,4.0,30,E2,3.34,3.34,0.0,No,No,Female,Direct,6,EAS,Chennai,31,Joined
183,2591170,No,40.0,30,E2,41.83766269635767,42.85,-2.0789156941299427,No,No,Male,Direct,6,INFRA,Noida,29,Not Joined
185,2591402,No,21.189619305179946,30,E2,33.33,33.33,0.0,No,No,Male,Agency,8,AXON,Noida,34,Not Joined
187,2593939,No,15.0,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,ERS,Chennai,26,Not Joined
194,2605197,No,1.0,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,ERS,Noida,25,Joined
195,2609241,No,44.0,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,BFSI,Bangalore,33,Joined
200,2618791,No,1.0,30,E2,33.33,20.0,-10.0,No,No,Female,Direct,6,AXON,Noida,37,Joined
201,2618796,No,31.0,30,E2,41.83766269635767,42.85,-2.0789156941299427,No,No,Male,Direct,4,INFRA,Chennai,26,Not Joined
202,2635381,Yes,20.0,30,E1,71.43,50.0,-12.5,No,No,Male,Employee Referral,3,ERS,Bangalore,27,Joined
203,2635429,No,1.0,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,3,INFRA,Noida,34,Joined
204,2635526,Yes,7.0,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,27,Joined
205,2635705,Yes,15.0,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,ERS,Chennai,33,Joined
215,2781322,Yes,6.0,90,E2,-11.69,-11.69,0.0,No,No,Male,Employee Referral,7,BFSI,Chennai,32,Joined
216,2786502,No,0.0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,INFRA,Noida,34,Joined
218,2793776,No,7.0,90,E2,43.79,36.6,-5.0,No,No,Male,Agency,7,BFSI,Bangalore,32,Joined
220,2794614,No,0.0,30,E2,72.41,72.41,0.0,No,No,Male,Agency,4,INFRA,Bangalore,32,Joined
223,2804650,Yes,17.0,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,ERS,Bangalore,27,Joined
224,2807645,No,21.189619305179946,30,E1,12.04,12.04,0.0,No,No,Female,Direct,6,ETS,Noida,34,Not Joined
225,2807762,No,21.189619305179946,60,E2,36.99,23.29,-10.0,No,No,Male,Direct,5,ETS,Bangalore,29,Not Joined
227,2814312,Yes,51.0,90,E2,42.84,42.84,0.0,No,No,Male,Agency,6,INFRA,Noida,29,Joined
228,2814340,Yes,29.0,45,E3,37.06,31.58,-4.0,No,No,Male,Employee Referral,5,INFRA,Chennai,32,Joined
229,2814452,Yes,1.0,30,E2,37.5,35.0,-1.82,No,No,Male,Employee Referral,3,INFRA,Bangalore,30,Joined
230,2819665,Yes,26.0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,8,INFRA,Noida,31,Joined
231,2819712,Yes,0.0,30,E2,15.38,15.38,0.0,No,No,Male,Direct,10,EAS,Bangalore,36,Joined
232,2823905,No,50.0,60,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,5,INFRA,Noida,29,Joined
235,2828770,No,0.0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,INFRA,Chennai,26,Joined
236,2828841,No,10.0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,29,Joined
237,2828934,No,3.0,30,E2,41.83766269635767,42.85,-2.0789156941299427,No,No,Male,Employee Referral,4,INFRA,Chennai,25,Not Joined
238,2834484,Yes,0.0,30,E1,-12.0,-12.0,0.0,No,No,Male,Agency,1,INFRA,Gurgaon,24,Joined
244,2845929,Yes,55.0,30,E2,37.5,25.0,-9.09,No,Yes,Female,Employee Referral,3,INFRA,Bangalore,25,Joined
248,2850802,No,3.0,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,ERS,Chennai,29,Joined
249,2855935,Yes,21.189619305179946,30,E2,27.27,13.64,-10.71,No,No,Male,Direct,6,AXON,Hyderabad,32,Not Joined
252,2861644,No,21.189619305179946,60,E2,30.0,22.5,-5.77,Yes,No,Male,Direct,5,CORP,Noida,31,Not Joined
253,2861816,No,11.0,60,E2,69.68,58.37,-6.67,No,No,Male,Direct,6,ERS,Chennai,34,Joined
255,2861938,Yes,3.0,60,E3,35.0,45.0,7.41,No,No,Male,Direct,8,INFRA,Pune,30,Not Joined
256,2863789,No,1.0,30,E2,29.41,35.29,4.55,No,No,Male,Employee Referral,6,AXON,Noida,33,Joined
258,2866045,No,21.189619305179946,60,E2,21.21,33.33,10.0,No,No,Male,Direct,4,INFRA,Gurgaon,26,Not Joined
259,2866433,Yes,40.0,60,E2,57.14,39.29,-11.36,No,No,Female,Direct,7,BFSI,Bangalore,32,Joined
261,2926304,No,4.0,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,BFSI,Bangalore,34,Not Joined
263,2931337,No,21.189619305179946,30,E4,-11.76,-11.76,0.0,No,No,Male,Employee Referral,9,INFRA,Noida,36,Joined
264,2945577,No,56.0,90,E2,66.08,55.0,-6.67,No,No,Male,Agency,8,BFSI,Bangalore,30,Joined
265,3021702,No,21.189619305179946,90,E2,61.79,54.08,-4.76,Yes,No,Male,Direct,7,ERS,Chennai,30,Not Joined
266,3029497,No,1.0,30,E2,50.0,58.33,5.56,No,No,Male,Direct,3,INFRA,Noida,27,Joined
267,3029512,Yes,2.0,60,E2,42.86,42.86,0.0,No,No,Female,Direct,8,INFRA,Chennai,31,Joined
268,3030928,Yes,15.0,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,5,INFRA,Noida,30,Joined
271,3034476,Yes,6.0,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,32,Joined
274,3037418,No,40.0,30,E1,56.86,27.45,-18.75,No,No,Male,Direct,4,AXON,Bangalore,34,Joined
275,3040238,No,21.189619305179946,30,E1,50.0,30.0,-13.33,No,No,Female,Direct,4,AXON,Noida,27,Not Joined
281,3108736,Yes,5.0,30,E3,42.59,42.59,0.0,No,No,Male,Employee Referral,9,INFRA,Noida,42,Joined
282,3110300,Yes,15.0,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,INFRA,Others,26,Joined
283,3120254,Yes,39.0,90,E2,46.24,46.24,0.0,No,No,Male,Agency,6,ERS,Chennai,37,Not Joined
285,3200275,No,12.0,30,E2,48.15,33.33,-10.0,Yes,Yes,Male,Agency,4,ERS,Hyderabad,26,Joined
286,3200724,No,18.0,60,E2,45.45,39.39,-4.17,Yes,No,Male,Direct,8,ETS,Noida,32,Joined
290,3211382,No,4.0,30,E2,42.85,42.85,0.0,No,No,Male,Agency,4,INFRA,Bangalore,30,Joined
300,3225969,Yes,15.0,30,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,5,INFRA,Chennai,30,Joined
301,3225996,No,21.189619305179946,60,E3,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Agency,10,INFRA,Chennai,34,Not Joined
310,3239288,No,10.0,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,27,Joined
311,3243075,Yes,8.0,30,E2,-3.23,-3.23,0.0,No,No,Female,Agency,6,ERS,Chennai,29,Joined
312,3244438,Yes,55.0,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
313,3245861,Yes,25.0,30,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,4,INFRA,Chennai,28,Joined
314,3245971,Yes,10.0,30,E1,27.78,20.0,-6.09,No,No,Female,Employee Referral,2,ERS,Chennai,26,Joined
318,3250645,No,21.189619305179946,60,E2,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Employee Referral,4,INFRA,Noida,27,Not Joined
319,3250941,No,2.0,45,E2,37.36,30.49,-5.0,No,No,Male,Agency,7,BFSI,Chennai,32,Not Joined
320,3251306,No,28.0,30,E2,42.84,42.84,0.0,No,Yes,Male,Employee Referral,7,INFRA,Chennai,37,Joined
322,3257382,Yes,40.0,60,E1,45.0,47.5,1.72,No,No,Male,Direct,4,CSMP,Noida,28,Not Joined
323,3257556,Yes,26.0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,6,INFRA,Noida,30,Joined
331,3263017,Yes,9.0,30,E2,33.33,16.67,-12.5,No,No,Male,Direct,10,ERS,Chennai,35,Not Joined
333,3267491,No,1.0,30,E1,80.56,69.44,-6.15,No,No,Male,Employee Referral,1,ERS,Bangalore,30,Joined
334,3267726,No,21.189619305179946,90,E2,30.0,24.92,-3.9,No,No,Male,Direct,4,INFRA,Hyderabad,27,Not Joined
336,3267893,No,21.189619305179946,60,E1,-11.0,-11.0,0.0,No,No,Male,Agency,4,BFSI,Chennai,29,Not Joined
339,3278272,Yes,27.0,30,E3,42.85,42.85,0.0,No,Yes,Male,Employee Referral,8,INFRA,Chennai,33,Joined
340,3278855,No,21.189619305179946,90,E1,41.05,28.4,-8.97,No,No,Male,Employee Referral,4,ERS,Chennai,29,Not Joined
341,3280954,Yes,29.0,30,E2,42.84,42.84,0.0,No,Yes,Male,Employee Referral,4,INFRA,Chennai,32,Joined
342,3283933,No,0.0,30,E1,50.0,50.0,0.0,No,No,Male,Employee Referral,4,BFSI,Bangalore,26,Joined
344,3284288,Yes,4.0,30,E1,42.84,42.84,0.0,No,No,Female,Employee Referral,2,INFRA,Noida,24,Joined
345,3284492,No,21.189619305179946,60,E2,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Agency,7,INFRA,Noida,33,Not Joined
353,3294274,No,32.0,45,E1,36.84,32.89,-2.88,No,Yes,Female,Agency,4,ERS,Chennai,34,Joined
356,3294384,Yes,33.0,30,E2,57.14,57.14,0.0,No,Yes,Male,Employee Referral,3,INFRA,Chennai,24,Joined
360,3300715,Yes,20.0,60,E2,42.85,42.85,0.0,No,No,Male,Agency,4,INFRA,Noida,27,Joined
362,3300828,Yes,28.0,30,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,9,INFRA,Chennai,36,Joined
363,3302340,Yes,22.0,60,E2,42.84,42.84,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,28,Joined
365,3305244,Yes,8.0,30,E2,-10.53,-10.53,0.0,No,No,Male,Direct,8,INFRA,Bangalore,30,Joined
370,3322390,Yes,37.0,60,E1,80.56,69.44,-6.15,No,No,Male,Employee Referral,3,ETS,Bangalore,26,Joined
375,3328640,No,6.0,60,E2,53.33,53.33,0.0,No,No,Male,Agency,7,Healthcare,Noida,30,Not Joined
377,3334512,No,21.189619305179946,30,E2,41.83766269635767,42.84,-2.0789156941299427,No,No,Male,Direct,5,INFRA,Noida,30,Not Joined
378,3338018,Yes,1.0,30,E2,42.84,42.84,0.0,No,No,Male,Agency,3,INFRA,Noida,24,Joined
379,3342223,Yes,9.0,30,E2,42.84,42.84,0.0,No,No,Male,Agency,2,INFRA,Noida,28,Joined
380,3342678,Yes,3.0,30,E3,57.14,28.57,-18.18,No,No,Female,Employee Referral,7,INFRA,Noida,29,Joined
381,3346442,Yes,24.0,30,E1,42.84,42.84,0.0,No,No,Male,Employee Referral,1,INFRA,Noida,24,Joined
382,3347772,Yes,3.0,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,27,Joined
383,3347826,No,9.0,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,1,INFRA,Noida,21,Joined
384,3348191,Yes,34.0,60,E3,-10.53,-11.69,-1.3,Yes,Yes,Male,Direct,5,INFRA,Noida,34,Joined
387,3351807,Yes,15.0,30,E2,42.84,42.84,0.0,No,No,Male,Employee Referral,1,INFRA,Noida,26,Joined
388,3351848,No,3.0,30,E1,36.93,42.86,4.33,No,No,Male,Direct,2,INFRA,Hyderabad,25,Joined
389,3352340,Yes,4.0,0,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,31,Joined
396,3374649,Yes,21.189619305179946,30,E4,11.11,11.11,0.0,No,No,Male,Employee Referral,10,INFRA,Bangalore,41,Joined
397,3377182,Yes,23.0,90,E2,53.85,46.15,-5.0,No,No,Female,Employee Referral,6,ERS,Chennai,31,Joined
398,3377286,No,0.0,30,E1,76.47,76.47,0.0,No,No,Male,Direct,2,ERS,Noida,23,Joined
402,3382002,Yes,8.0,30,E1,60.49,38.27,-13.85,No,No,Male,Direct,4,CSMP,Noida,26,Joined
405,3393013,No,9.0,45,E2,21.58,37.77201584732044,-2.0789156941299427,No,No,Male,Direct,7,CSMP,Bangalore,29,Not Joined
415,3424789,No,14.0,30,E1,24.53,18.31,-5.0,Yes,Yes,Male,Agency,4,ERS,Bangalore,27,Joined
417,3428591,Yes,21.0,90,E2,15.38,15.38,0.0,Yes,No,Male,Direct,8,ERS,Chennai,30,Not Joined
419,3429992,Yes,20.0,30,E1,28.89,28.89,0.0,No,No,Male,Direct,3,CSMP,Chennai,27,Joined
424,3443422,No,21.189619305179946,30,E3,41.83766269635767,42.85,-2.0789156941299427,No,No,Male,Direct,6,INFRA,Chennai,32,Not Joined
426,3458547,Yes,9.0,30,E2,38.89,31.94,-5.0,No,Yes,Male,Direct,7,Healthcare,Hyderabad,36,Joined
427,3459128,Yes,23.0,60,E1,59.57,46.81,-8.0,Yes,Yes,Male,Employee Referral,4,ERS,Bangalore,26,Joined
428,3459132,Yes,27.0,0,E2,4.48,0.0,-4.29,No,No,Male,Employee Referral,7,ERS,Bangalore,30,Joined
434,3476331,Yes,37.0,30,E1,20.0,20.0,0.0,No,No,Male,Direct,4,ETS,Bangalore,28,Joined
436,3483574,Yes,21.189619305179946,0,E0,41.83766269635767,42.86,-2.0789156941299427,No,No,Male,Employee Referral,0,BSERV,Pune,25,Not Joined
439,3495740,Yes,20.0,0,E2,45.16,41.13,-2.78,Yes,No,Male,Employee Referral,9,EAS,Hyderabad,33,Joined
443,3512053,Yes,23.0,30,E2,59.17,49.22,-6.25,Yes,No,Male,Employee Referral,6,ERS,Noida,31,Joined
444,3518153,Yes,12.0,60,E2,36.32,25.61,-7.86,No,No,Male,Direct,7,AXON,Bangalore,34,Joined
448,3544532,No,6.0,0,E1,37.61,44.5,5.0,Yes,No,Male,Agency,3,ERS,Chennai,27,Not Joined
449,3544662,Yes,21.189619305179946,0,E0,0.03,-0.04,-0.07,No,No,Male,Direct,0,BSERV,Noida,23,Joined
455,3619135,Yes,0.0,60,E1,41.3,21.74,-13.85,No,No,Female,Direct,4,BFSI,Chennai,28,Joined
462,3649761,Yes,0.0,0,E2,37.95,37.95,0.0,Yes,No,Male,Employee Referral,8,ETS,Noida,36,Joined
464,3671120,Yes,3.0,30,E1,-10.71,-10.71,0.0,No,Yes,Male,Agency,2,ERS,Chennai,25,Joined
469,3685392,No,7.0,30,E1,38.89,25.0,-10.0,No,Yes,Male,Agency,1,ERS,Bangalore,23,Joined
474,3699033,No,6.0,0,E2,25.0,12.5,-10.0,No,No,Female,Agency,5,ERS,Bangalore,27,Not Joined
475,3707268,Yes,2.0,30,E2,60.0,44.0,-10.0,No,No,Female,Employee Referral,9,ERS,Chennai,32,Joined
478,3727334,No,21.189619305179946,0,E0,42.86,42.86,0.0,No,No,Male,Direct,0,BSERV,Pune,27,Joined
481,3740191,Yes,21.189619305179946,30,E1,76.47,76.47,0.0,No,No,Male,Direct,4,CORP,Noida,24,Joined
482,3758183,Yes,6.0,60,E2,33.74,18.31,-11.54,Yes,No,Male,Employee Referral,7,ERS,Noida,32,Joined
483,3798757,No,21.189619305179946,0,E0,42.86,42.86,0.0,No,No,Male,Direct,0,BSERV,Pune,23,Joined
484,3807110,Yes,21.189619305179946,0,E0,42.86,42.86,0.0,No,No,Male,Direct,0,BSERV,Pune,27,Joined
486,3815047,No,1.0,0,E1,-11.39,-11.39,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,26,Joined
490,2110719,No,1.0,45,E2,52.62,43.9,-5.71,No,No,Male,Direct,6,BFSI,Bangalore,31,Not Joined
492,2111873,No,8.0,30,E1,41.67,50.0,5.88,No,No,Male,Agency,3,ERS,Chennai,28,Joined
496,2112715,Yes,11.0,60,E2,41.83766269635767,18.23,-2.0789156941299427,No,No,Female,Employee Referral,8,ERS,Noida,32,Not Joined
498,2113130,No,21.189619305179946,30,E1,20.0,25.0,4.17,No,No,Female,Employee Referral,7,ERS,Chennai,35,Not Joined
499,2113310,No,0.0,0,E2,30.83,30.83,0.0,No,Yes,Male,Direct,9,INFRA,Noida,31,Joined
501,2113885,No,2.0,0,E2,40.0,50.0,7.14,No,Yes,Male,Direct,5,INFRA,Noida,32,Joined
502,2114014,No,21.189619305179946,0,E3,30.0,34.0,3.08,No,No,Male,Direct,10,INFRA,Chennai,35,Not Joined
503,2114740,No,6.0,0,E3,30.0,40.85,8.34,Yes,No,Male,Direct,10,INFRA,Chennai,32,Joined
507,2115094,No,6.0,0,E1,41.83766269635767,37.77201584732044,-2.0789156941299427,No,Yes,Male,Direct,2,INFRA,Ahmedabad,24,Joined
509,2115688,Yes,28.0,30,E1,70.27,70.27,0.0,No,No,Male,Employee Referral,3,ETS,Bangalore,26,Joined
510,2115820,No,1.0,30,E1,53.85,53.85,0.0,No,Yes,Female,Direct,2,INFRA,Noida,28,Joined
511,2115908,Yes,6.0,30,E2,20.0,20.0,0.0,No,No,Male,Direct,5,INFRA,Noida,26,Joined
512,2115986,No,6.0,45,E1,69.77,69.77,0.0,Yes,No,Male,Employee Referral,3,ETS,Bangalore,26,Not Joined
513,2116452,Yes,38.0,30,E1,12.07,12.07,0.0,No,No,Male,Direct,4,CSMP,Bangalore,32,Joined
514,2116504,No,21.189619305179946,90,E1,20.0,19.17,-0.69,No,No,Male,Direct,3,BFSI,Bangalore,29,Not Joined
516,2116640,No,1.0,60,E1,44.44,26.67,-12.31,No,No,Female,Employee Referral,4,CSMP,Noida,29,Joined
517,2116851,No,6.0,90,E3,27.66,27.66,0.0,No,No,Male,Direct,5,INFRA,Noida,37,Joined
519,2117309,Yes,13.0,30,E1,53.33,53.33,0.0,No,No,Male,Direct,1,INFRA,Mumbai,25,Joined
521,2117762,Yes,42.0,60,E2,24.63,23.01,-1.3,No,Yes,Male,Agency,3,INFRA,Noida,28,Joined
526,2117926,No,3.0,30,E1,30.68,30.68,0.0,No,No,Female,Direct,4,ERS,Noida,29,Joined
